symbol,regime,num_runs,mean_len,p50_len,p90_len,max_len
TRX_x1,Choppy high-vol sideways,162,2.4382716049382718,2,5,13
TRX_x1,Sell-off / drawdown,189,1.2433862433862435,1,2,6
TRX_x2,Blow-off rally / parabolic,139,1.3021582733812949,1,2,6
TRX_x2,Bull impulse,17,2.7058823529411766,1,8,17
TRX_x2,Calm / normal,123,4.2439024390243905,3,9,29
TRX_x2,Choppy high-vol sideways,162,2.4382716049382718,2,5,13
TRX_x2,Sell-off / drawdown,189,1.2433862433862435,1,2,6
TRX_x3,Blow-off rally / parabolic,139,1.3021582733812949,1,2,6
TRX_x3,Bull impulse,17,2.7058823529411766,1,8,17
TRX_x3,Calm / normal,123,4.2439024390243905,3,9,29
TRX_x3,Choppy high-vol sideways,162,2.4382716049382718,2,5,13
TRX_x3,Sell-off / drawdown,189,1.2433862433862435,1,2,6
TRX_x4,Blow-off rally / parabolic,139,1.3021582733812949,1,2,6
TRX_x4,Bull impulse,17,2.7058823529411766,1,8,17
TRX_x4,Calm / normal,123,4.2439024390243905,3,9,29
TRX_x4,Choppy high-vol sideways,162,2.4382716049382718,2,5,13
TRX_x4,Sell-off / drawdown,189,1.2433862433862435,1,2,6
UNI,Blow-off rally / parabolic,34,1.1470588235294117,1,2,2
UNI,Bull impulse,7,1.8571428571428572,1,5,5
UNI,Calm / normal,8,1.625,1,3,3
UNI,Choppy high-vol sideways,57,2.789473684210526,2,5,13
UNI,Sell-off / drawdown,42,1.3095238095238095,1,2,4
UNI_x1,Blow-off rally / parabolic,34,1.1470588235294117,1,2,2
UNI_x1,Bull impulse,7,1.8571428571428572,1,5,5
UNI_x1,Calm / normal,8,1.625,1,3,3
UNI_x1,Choppy high-vol sideways,57,2.789473684210526,2,5,13
UNI_x1,Sell-off / drawdown,42,1.3095238095238095,1,2,4
UNI_x2,Blow-off rally / parabolic,34,1.1470588235294117,1,2,2
UNI_x2,Bull impulse,7,1.8571428571428572,1,5,5
UNI_x2,Calm / normal,8,1.625,1,3,3
UNI_x2,Choppy high-vol sideways,57,2.789473684210526,2,5,13
UNI_x2,Sell-off / drawdown,42,1.3095238095238095,1,2,4
UNI_x3,Blow-off rally / parabolic,34,1.1470588235294117,1,2,2
UNI_x3,Bull impulse,7,1.8571428571428572,1,5,5
UNI_x3,Calm / normal,8,1.625,1,3,3
UNI_x3,Choppy high-vol sideways,57,2.789473684210526,2,5,13
UNI_x3,Sell-off / drawdown,42,1.3095238095238095,1,2,4
UNI_x4,Blow-off rally / parabolic,34,1.1470588235294117,1,2,2
UNI_x4,Bull impulse,7,1.8571428571428572,1,5,5
UNI_x4,Calm / normal,8,1.625,1,3,3
UNI_x4,Choppy high-vol sideways,57,2.789473684210526,2,5,13
UNI_x4,Sell-off / drawdown,42,1.3095238095238095,1,2,4
WBTC,Blow-off rally / parabolic,92,1.1195652173913044,1,1,3
WBTC,Calm / normal,122,5.565573770491803,3,13,27
WBTC,Choppy high-vol sideways,11,1.9090909090909092,2,3,4
WBTC,Sell-off / drawdown,63,1.1428571428571428,1,2,3
WBTC_x1,Blow-off rally / parabolic,92,1.1195652173913044,1,1,3
WBTC_x1,Calm / normal,122,5.565573770491803,3,13,27
WBTC_x1,Choppy high-vol sideways,11,1.9090909090909092,2,3,4
WBTC_x1,Sell-off / drawdown,63,1.1428571428571428,1,2,3
WBTC_x2,Blow-off rally / parabolic,92,1.1195652173913044,1,1,3
WBTC_x2,Calm / normal,122,5.565573770491803,3,13,27
WBTC_x2,Choppy high-vol sideways,11,1.9090909090909092,2,3,4
WBTC_x2,Sell-off / drawdown,63,1.1428571428571428,1,2,3
WBTC_x3,Blow-off rally / parabolic,92,1.1195652173913044,1,1,3
WBTC_x3,Calm / normal,122,5.565573770491803,3,13,27
WBTC_x3,Choppy high-vol sideways,11,1.9090909090909092,2,3,4
WBTC_x3,Sell-off / drawdown,63,1.1428571428571428,1,2,3
WBTC_x4,Blow-off rally / parabolic,92,1.1195652173913044,1,1,3
WBTC_x4,Calm / normal,122,5.565573770491803,3,13,27
WBTC_x4,Choppy high-vol sideways,11,1.9090909090909092,2,3,4
WBTC_x4,Sell-off / drawdown,63,1.1428571428571428,1,2,3
XEM,Blow-off rally / parabolic,235,1.2340425531914894,1,2,4
XEM,Bull impulse,33,2.6666666666666665,2,7,11
